id	surface	gloss	level
21660	기법	Technique	C
21676	기본	A foundation	B
21699	기본적	Fundamental or  basic	C
21724	기분	Mood	A
21784	기뻐하다	Be pleased or  delighted with	B
21788	기쁘다	To be happy	B
21789	기쁨	Joy or  delight	B
21796	기사	An article or  an account	B
21797	기사	Technician	B
21877	기성	To be already existing or  established	C
21881	기성세대	Old people	C
21914	기숙사	A hostel or  residence hall	A
21919	기술	Art or  technique or  ability	B
21930	기술자	Technician	C
21940	기술하다	To describe or give an account of	C
22030	기억	A memory	B
22037	기억나다	To memorize, to remember	B
22038	기억되다	To be remembered	C
22060	기억하다	To recall or  remember	B
22063	기업	An enterprise or business	C
22090	기업인	Businessman	C
22099	기여	Contribution or service to a community or group	C
22102	기여하다	to contribute or add to. 이바지하다	C
22108	기온	Temperature	B
22127	기운	Strength or  might (the strength you feel you have on that particular day)	B
22153	기울다	(1) To tilt or lean  (2) the sun sets	C
22163	기울이다	Tip or  slant or  incline	C
22168	기원	Origin	C
22176	기원전	B.C.	C
22208	기자	A journalist	B
22239	기적	A miracle	C
